#TYPE Selected.System.Diagnostics.Process
"Name","Id","Path"
"ai","4060","C:\Program Files\Microsoft Office\root\vfs\ProgramFilesCommonX64\Microsoft Shared\Office16\AI\ai.exe"
"ai","18760","C:\Program Files\Microsoft Office\root\vfs\ProgramFilesCommonX64\Microsoft Shared\Office16\AI\ai.exe"
"aimgr","18196","C:\Program Files\Microsoft Office\root\vfs\ProgramFilesCommonX64\Microsoft Shared\Office16\AI\aimgr.exe"
"Antigravity","3620","C:\Users\osman\AppData\Local\Programs\Antigravity\Antigravity.exe"
"Antigravity","5836","C:\Users\osman\AppData\Local\Programs\Antigravity\Antigravity.exe"
"Antigravity","8400","C:\Users\osman\AppData\Local\Programs\Antigravity\Antigravity.exe"
"Antigravity","8636","C:\Users\osman\AppData\Local\Programs\Antigravity\Antigravity.exe"
"Antigravity","10452","C:\Users\osman\AppData\Local\Programs\Antigravity\Antigravity.exe"
"Antigravity","14500","C:\Users\osman\AppData\Local\Programs\Antigravity\Antigravity.exe"
"Antigravity","17392","C:\Users\osman\AppData\Local\Programs\Antigravity\Antigravity.exe"
"Antigravity","17620","C:\Users\osman\AppData\Local\Programs\Antigravity\Antigravity.exe"
"Antigravity","17952","C:\Users\osman\AppData\Local\Programs\Antigravity\Antigravity.exe"
"Antigravity","18132","C:\Users\osman\AppData\Local\Programs\Antigravity\Antigravity.exe"
"Antigravity","19624","C:\Users\osman\AppData\Local\Programs\Antigravity\Antigravity.exe"
"Antigravity","20152","C:\Users\osman\AppData\Local\Programs\Antigravity\Antigravity.exe"
"Antigravity","20332","C:\Users\osman\AppData\Local\Programs\Antigravity\Antigravity.exe"
"ApplicationFrameHost","8600","C:\WINDOWS\system32\ApplicationFrameHost.exe"
"AppVShNotify","10488","C:\Program Files\Common Files\Microsoft Shared\ClickToRun\AppVShNotify.exe"
"AsusOptimizationStartupTask","15700","C:\WINDOWS\System32\DriverStore\FileRepository\asussci2.inf_amd64_ebcc5101f0564a1b\ASUSOptimization\AsusOptimizationStartupTask.exe"
"chrome","1440","C:\Program Files\Google\Chrome\Application\chrome.exe"
"chrome","4320","C:\Program Files\Google\Chrome\Application\chrome.exe"
"chrome","7000","C:\Program Files\Google\Chrome\Application\chrome.exe"
